type,file,name,category/section
disease문서,1103_비뇨기계 외상.json,비뇨기계 외상,disease
disease문서,1141_액취증.json,액취증,disease
disease문서,1261_간의 양성종양.json,간의 양성종양,disease
disease문서,1264_간의 양성종양(간낭종).json,간의 양성종양(간낭종),disease
disease문서,1266_간의 양성종양(담관낭선종).json,간의 양성종양(담관낭선종),disease
disease문서,1301_갈색세포종.json,갈색세포종,disease
disease문서,1381_안외상(각막화상).json,안외상(각막화상),disease
disease문서,1401_안외상(천공 외상).json,안외상(천공 외상),disease
disease문서,1402_안외상(외상성 망막박리).json,안외상(외상성 망막박리),disease
disease문서,1667_설사.json,설사,disease
disease문서,1729_성대결절.json,성대결절,disease
disease문서,1741_급성고환염.json,급성고환염,disease
disease문서,1807_성조숙증.json,성조숙증,disease
disease문서,2055_급성부고환염.json,급성부고환염,disease
disease문서,2057_위식도역류질환.json,위식도역류질환,disease
disease문서,2067_남성형 탈모.json,남성형 탈모,disease
disease문서,2247_위용종.json,위용종,disease
disease문서,2347_당뇨병 합병증(급성 합병증).json,당뇨병 합병증(급성 합병증),disease
disease문서,"2348_당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태).json","당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태)",disease
disease문서,2351_당뇨병 합병증(만성 합병증).json,당뇨병 합병증(만성 합병증),disease
disease문서,2367_건막염.json,건막염,disease
disease문서,2587_비정상 자궁출혈.json,비정상 자궁출혈,disease
disease문서,2607_일과성 허혈 발작.json,일과성 허혈 발작,disease
disease문서,3348_추간판탈출증(디스크).json,추간판탈출증(디스크),disease
disease문서,3447_대장게실증.json,대장게실증,disease
disease문서,3467_대퇴골두 무혈성 괴사.json,대퇴골두 무혈성 괴사,disease
disease문서,3509_조갑감입(파고드는 발톱_감입발톱).json,조갑감입(파고드는 발톱_감입발톱),disease
disease문서,3627_척추의 형태 이상.json,척추의 형태 이상,disease
disease문서,3628_척추의 형태 이상(척추측만증).json,척추의 형태 이상(척추측만증),disease
disease문서,3629_척추의 형태 이상(척추후만증).json,척추의 형태 이상(척추후만증),disease
disease문서,3789_얼굴마비(중추성 마비).json,얼굴마비(중추성 마비),disease
disease문서,3790_얼굴마비(말초성 마비).json,얼굴마비(말초성 마비),disease
disease문서,4047_척추관 협착증.json,척추관 협착증,disease
disease문서,5220_덧눈꺼풀.json,덧눈꺼풀,disease
disease문서,5223_비문증(날파리증).json,비문증(날파리증),disease
